sensor_type,timestamp,sensor_0,sensor_1,sensor_2,estimate_x,estimate_y,estimate_vx,estimate_vy,ground_truth_x,ground_truth_y,ground_truth_vx,ground_truth_vy,rmse_x,rmse_y,rmse_vx,rmse_vy
1,1477010448250000,24.2413,0.530035,2.16265,20.2971,13.0697,-0.484363,4.72292,20.2363,13.0339,-0.417348,4.80428,0.0542728,0.0931352,0.68224,0.359791
0,1477010448300000,20.1943,13.1688,,20.2687,13.2642,-0.582516,4.58797,20.2122,13.2738,-0.545298,4.78918,0.054294,0.0927036,0.679054,0.358634
1,1477010448350000,24.0255,0.59787,2.13842,20.2317,13.4994,-0.6989,4.6874,20.1818,13.5129,-0.673135,4.77072,0.0542552,0.0922825,0.675908,0.35706
0,1477010448400000,20.3245,13.8896,,20.2046,13.7728,-0.831696,4.78045,20.1449,13.7509,-0.800753,4.74892,0.0543079,0.0918821,0.672807,0.355431
1,1477010448450000,24.4284,0.587035,1.74881,20.1546,13.9906,-0.969458,4.63109,20.1017,13.9878,-0.928043,4.72374,0.0542951,0.0914638,0.669753,0.353922
0,1477010448500000,20.1216,14.337,,20.0908,14.2607,-1.1592,4.71995,20.0521,14.2233,-1.0549,4.69521,0.0541751,0.0911202,0.666803,0.352332
1,1477010448550000,24.3813,0.632018,1.7308,20.0183,14.4909,-1.30617,4.69921,19.9962,14.4573,-1.18121,4.66331,0.0539734,0.090768,0.663924,0.350772
0,1477010448600000,19.781,14.773,,19.8974,14.7663,-1.60133,4.79391,19.934,14.6897,-1.30687,4.62805,0.0538438,0.0906523,0.66156,0.349565
1,1477010448650000,24.5168,0.60859,1.71283,19.8324,14.982,-1.64412,4.76785,19.8655,14.9202,-1.43177,4.58944,0.0536966,0.0904395,0.658953,0.348429
0,1477010448700000,20.0208,15.2053,,19.8232,15.1732,-1.5513,4.55916,19.7908,15.1486,-1.55581,4.54751,0.0535482,0.0900746,0.656081,0.346913
1,1477010448750000,25.2206,0.654048,0.480334,19.7103,15.3542,-1.74533,4.02375,19.7099,15.3749,-1.67887,4.50226,0.0533169,0.0897061,0.653277,0.34826
0,1477010448800000,19.9131,15.554,,19.701,15.5091,-1.65121,3.80449,19.6229,15.5989,-1.80085,4.45372,0.0535778,0.0897067,0.650626,0.351924
1,1477010448850000,25.0031,0.647734,1.13996,19.6298,15.6882,-1.71538,3.7809,19.5298,15.8203,-1.92164,4.40193,0.0541384,0.0901494,0.648141,0.355063
0,1477010448900000,19.4748,16.0098,,19.5019,15.9327,-1.96892,3.90735,19.4307,16.039,-2.04114,4.3469,0.0543038,0.0902978,0.645446,0.355856
1,1477010448950000,24.9602,0.695945,1.21175,19.4091,16.1335,-2.04164,3.98151,19.3257,16.2549,-2.15925,4.28868,0.0546103,0.0906016,0.642841,0.355478
0,1477010449000000,19.238,16.2719,,19.2942,16.3204,-2.15879,3.90081,19.2148,16.4679,-2.27586,4.22731,0.0548613,0.0912176,0.640267,0.355248
1,1477010449050000,25.3368,0.698647,0.722698,19.1862,16.5056,-2.25219,3.7986,19.0981,16.6777,-2.39087,4.16284,0.055215,0.0921685,0.637762,0.355323
0,1477010449100000,19.0029,16.8387,,19.0281,16.7541,-2.52284,3.92079,18.9757,16.8841,-2.50418,4.0953,0.0551928,0.0925389,0.635166,0.354225
1,1477010449150000,25.8559,0.754598,-0.0612346,18.8661,16.9485,-2.78032,3.67842,18.8477,17.0872,-2.61571,4.02476,0.0549944,0.0930026,0.632772,0.354162
0,1477010449200000,18.6148,17.3832,,18.6504,17.2318,-3.21519,3.87344,18.7142,17.2866,-2.72534,3.95127,0.0550704,0.0927592,0.631757,0.352811
1,1477010449250000,25.3807,0.735616,1.06382,18.5606,17.4318,-3.00318,3.93421,18.5752,17.4822,-2.83299,3.87489,0.0548668,0.0924995,0.629428,0.351448
0,1477010449300000,18.1023,17.5529,,18.3257,17.6503,-3.34199,3.95637,18.4309,17.674,-2.93858,3.79568,0.0554416,0.0921587,0.627966,0.350352
1,1477010449350000,25.2941,0.763391,0.672333,18.1794,17.8529,-3.33456,3.97181,18.2814,17.8617,-3.042,3.71372,0.0559553,0.0918014,0.626043,0.349726
0,1477010449400000,18.2094,18.0461,,18.0737,18.0163,-3.23062,3.76903,18.1268,18.0453,-3.14318,3.62906,0.0559335,0.0914806,0.623659,0.348586
1,1477010449450000,25.3208,0.762942,-0.0928738,17.9028,18.1607,-3.32863,3.49724,17.9671,18.2246,-3.24204,3.5418,0.0560027,0.0913003,0.621302,0.347264
0,1477010449500000,17.9018,18.2183,,17.8072,18.2694,-3.16117,3.20479,17.8026,18.3994,-3.3385,3.45199,0.05579,0.0916582,0.61912,0.34661
1,1477010449550000,26.1624,0.765956,0.152289,17.691,18.4333,-3.1192,3.1259,17.6334,18.5697,-3.43247,3.35973,0.0558041,0.0920792,0.617373,0.345894
0,1477010449600000,17.3845,18.7039,,17.4652,18.6481,-3.4335,3.24565,17.4595,18.7353,-3.5239,3.26509,0.0555962,0.0920434,0.615097,0.344595
1,1477010449650000,25.368,0.793358,-0.253429,17.2937,18.7787,-3.50246,3.04923,17.281,18.8962,-3.61271,3.16817,0.0553991,0.0922594,0.612872,0.34346
0,1477010449700000,17.1762,18.8863,,17.1437,18.9061,-3.48421,2.88607,17.0983,19.0521,-3.69883,3.06904,0.0553317,0.0927722,0.610877,0.342548
1,1477010449750000,26.0053,0.861368,-0.164065,16.978,19.0749,-3.54242,2.86866,16.9113,19.203,-3.78221,2.9678,0.0554244,0.0930805,0.608974,0.341392
0,1477010449800000,16.5734,19.052,,16.7482,19.2031,-3.73824,2.77443,16.7201,19.3488,-3.86278,2.86455,0.0552738,0.0935719,0.606841,0.340231
1,1477010449850000,25.889,0.896317,-0.530322,16.5491,19.3636,-3.88716,2.72964,16.5251,19.4894,-3.9405,2.75938,0.0551111,0.0938451,0.604655,0.339006
0,1477010449900000,16.2338,19.6171,,16.2924,19.5518,-4.1821,2.78938,16.3262,19.6246,-4.01531,2.65237,0.0549872,0.0937111,0.602643,0.337984
1,1477010449950000,24.5786,0.838291,-0.8677,16.0719,19.6304,-4.26918,2.50372,16.1237,19.7545,-4.08716,2.54364,0.0549652,0.0939631,0.600683,0.336792
0,1477010450000000,15.9243,19.8703,,15.8625,19.7756,-4.34703,2.43177,15.9176,19.8789,-4.15602,2.43329,0.0549662,0.0940327,0.598766,0.335595
1,1477010450050000,25.1552,0.869372,-0.422421,15.6864,19.8929,-4.15692,2.33391,15.7082,19.9978,-4.22185,2.32141,0.054803,0.0941133,0.596678,0.334413
0,1477010450100000,15.4332,20.1836,,15.434,20.0636,-4.38866,2.38896,15.4956,20.111,-4.28461,2.2081,0.0548535,0.0938675,0.594652,0.333585
1,1477010450150000,25.7265,0.978244,-0.746329,15.2006,20.221,-4.50059,2.40163,15.2799,20.2185,-4.34427,2.09347,0.0550611,0.0935412,0.592727,0.333415
0,1477010450200000,15.2016,20.4385,,15.0427,20.3313,-4.35211,2.24541,15.0613,20.3203,-4.4008,1.97763,0.0548928,0.0932226,0.590693,0.333007
1,1477010450250000,24.8149,0.934393,-1.0454,14.8105,20.4129,-4.46114,2.0649,14.84,20.4162,-4.4542,1.86068,0.0547589,0.0929032,0.588667,0.332294
0,1477010450300000,14.6665,20.6088,,14.6021,20.5271,-4.47608,1.97979,14.6161,20.5063,-4.50443,1.74272,0.0545844,0.0926025,0.586666,0.331739
1,1477010450350000,25.1535,0.988122,-1.29602,14.3515,20.6226,-4.6735,1.85338,14.3897,20.5904,-4.55149,1.62386,0.0544902,0.0923269,0.584767,0.331154
0,1477010450400000,14.0521,20.5924,,14.1101,20.6907,-4.72109,1.68536,14.1611,20.6686,-4.59537,1.50421,0.0544678,0.0920344,0.582892,0.330374
1,1477010450450000,25.0236,0.985547,-1.50011,13.8636,20.7683,-4.84336,1.53629,13.9304,20.7408,-4.63606,1.38386,0.0545594,0.0917545,0.581193,0.329506
0,1477010450500000,13.4686,20.7253,,13.5789,20.8343,-5.00187,1.39775,13.6977,20.807,-4.67357,1.26294,0.0552314,0.0914773,0.579881,0.328597
1,1477010450550000,24.6656,0.975748,-2.00913,13.3208,20.8714,-5.16186,1.1417,13.4632,20.8671,-4.70789,1.14153,0.0562476,0.0911766,0.579142,0.327514
0,1477010450600000,13.1072,20.8294,,13.0931,20.8951,-5.07547,0.907108,13.2271,20.9211,-4.73904,1.01975,0.0570999,0.0909025,0.577887,0.326569
1,1477010450650000,24.9733,1.01073,-1.83426,12.8646,20.9544,-4.97484,0.797253,12.9895,20.969,-4.76702,0.897694,0.0577975,0.0906145,0.576251,0.325608
0,1477010450700000,12.8729,21.0592,,12.7068,20.9729,-4.71227,0.58319,12.7506,21.0108,-4.79186,0.775469,0.0577181,0.090373,0.574424,0.324923
1,1477010450750000,24.5425,1.08233,-2.03069,12.4473,21.0183,-4.81847,0.481971,12.5106,21.0465,-4.81358,0.653175,0.0577555,0.0901112,0.57258,0.32417
0,1477010450800000,12.2062,21.11,,12.1972,21.056,-4.87034,0.371438,12.2695,21.0761,-4.83219,0.530912,0.0578595,0.089838,0.570762,0.323386
1,1477010450850000,24.4724,1.04012,-2.24199,11.9648,21.0737,-4.8727,0.217827,12.0276,21.0996,-4.84773,0.408778,0.057892,0.089577,0.568957,0.322719
0,1477010450900000,11.6814,20.8651,,11.7328,21.0369,-4.81008,-0.0263125,11.785,21.117,-4.86022,0.286869,0.0578578,0.0895207,0.567178,0.32266
1,1477010450950000,23.6708,1.0622,-2.41489,11.4933,21.0202,-4.77461,-0.196821,11.5418,21.1283,-4.86971,0.165281,0.0578039,0.0896487,0.565453,0.322921
